id,text,expert label
663_3,"Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.",1
665_2,"It should be an option to remove the ""ru"" language code from my app 'language History' or an option to completly replace: Fully replace the prevoius(es) xap(s).",1
665_8,"Provide a workaround for removing the ""ru"" language from the language history (I have no need for ""ru"" culture just for ""ru-ru"", but there is no way to remove ""ru"" from the language history if you ever posted your app with ""ru"" language support) 2.",1
665_9,"Or add and implement an AppResLib.dll.xxxx.mui for the ""ru"" language culture In the documentation AppResLib.dll.xxxx.mui exist only for ""ru-ru"" and not for ""ru"" culture: http://msdn.microsoft.com/en-us/library/windowsphone/develop/ff967550(v=vs.105).aspx Thanks, Tom Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.",1
668_1,"I always use this feature, please fix ASAP.",1
669_1,Its getting annoying.Please fix this.,1
672_3,Please allow windows phone 8.1 file/folder picker to have access to onedrive and store the location in futureaccesslist.,1
673_1,"Also, please allow onedrive folder to be stored locally like winrt.",1
674_2,This needs fixing as a number 1 priority.,1
674_3,It would be nice to give developers the option put a payment on hold when they reach the appropriate threshold and have the option to put it on top of the next due payment when they reach the threshold after that.,1
676_7,Please remove that validation or validate according with my tax plan and not my country in the account.,1
680_2,Please bring back the simplicity and efficiency of Windows Phone!,1
680_3,"While I was building a web application, I've noticed that single page applications with this url: http://www.contoso.com/!#/ will display blank page and only a refresh will load the page again can you please check that?",1
680_4,It would be great if you would add a RemoteId to the calendars.,1
681_6,Please add these properties so that we can support image tiling properly.,1
681_9,The Lockscreen text attribute should be separated out from Tile attributes.,1
684_1,"What I want is the ability to record those alongside system-provided ETW events, so that I can see how my code's activity fits in with system behaviour.",1
684_3,Please get back the old OneDrive integration to windows phone 8.1.,1
687_2,"Moreover, it's better to have read-only API for phone call history, so developer can help to make better phone call related app like Android.",1
687_4,Allow the messaging application to join in the default messaging application (Hub Message) for full interaction.,1
687_7,We need Windows Phone to synchronize its clock via the internet.,1
687_9,"Include an API to add, remove, deactivate tracking protection lists (TPL), to further drive down data usage, enable selective protection against rogue sites tracking, and just having a sense of control.",1
687_11,Provide more help with understand text that coming from cortanan.,1
690_3,"Please cant we have an option in the WPAppManifest file to untick ""fast resume"" and allow WP8.1 apps to not run in fast resume mode just like in WP8?",1
691_3,Allow NFC capable Windows Phones to pay from the Wallet app using NFC at locations where card readers support it.,1
691_7,Developers need create/edit document from Windows Store Apps.,1
693_1,Provide access to CPU & GPU data in C#,1
693_8,So please provide the low-level reading/writing functionality for NFC devices already in the field.,1
694_2,Please remove the cert process for these and allow them to be added *instantly*,1
697_1,That could be automatic too.,1
700_1,"I recognize that when Threshold arrives (code matching between Windows and Windows Phone achieves 100%), much of these may not matter anymore, but for the time being these would be nice additions.",1
703_1,This is a bug and should be fixed so that ANY media that is playing will be paused if you are interacting with Cortanta.,1
703_2,"The trial feature should be built-in with automatic enforcement, user prompting, disabling, etc, just as it is in the Windows Store.",1
705_1,"With the two stores combining, can we bring built-in trial mode support to Windows Phone?",1
706_1,You should be able to start an app like the flashlight app directly from the notification center.,1
706_2,Please add recent places to SuggestedStartLocation in FileOpenPicker API.,1
708_1,Please provide access to Calendar API to customize the day styles basing upon requirement,1
715_4,"Please release lock screen api for all developers,treat every devs equally",1
716_3,Now we want to bundle these Apps.,1
723_1,We need this also in Windows App Store because: 1.,1
730_1,I think Microsoft needs to re-consider about having splash screens.,1
730_2,when users click on APP they should directly see UI no lags.,1
731_1,"Extend the MediaElement to support YouTube videos, so simple.",1
731_6,"I think this is a bug, because I think if the WriteableBitmap decides to update the PixelWidth and PixelHeight property, it should also update the PixelBuffer, or the data is inconsistent.",1
731_8,Windows developers need APIs to control TV tuners and display of other digital media on the same screen at the same time,1
732_1,"make multitasking a real thing, like seeing a video or having a mini calc when browse some thing.",1
734_1,you can limit number of apps according to the screen size.,1
735_1,"Provide an API to use Cortana services within apps as well as provide implementable Interface(s) which expose App-Services to Cortana, then Cortana can call these methods and developers worldwide can extends it's functionality.",1
736_1,Please add api's for sharing to reading list.,1
736_3,Would become even more useful if say i could share to reading list from chrome extension or mac desktop or iOs.,1
742_1,Provide a way to get list of installed applications on the phone,1
743_4,And my only wish is to format a DateTime like the user wants to see it.,1
744_6,This should be added in future versions as it is still an important feature for some apps.,1
746_2,I would like Microsoft to open up this framework to all developers.,1
746_4,But why not allow it to be used locally by sideloading or through the emulators?,1
747_7,I'd like to record an audio/video file while playing a audio file in the background.,1
748_2,"However, there should be more of swipe gestures than the tap methods.",1
749_1,I would like the ability to pass the photo from my app to an app (of the user's choice via an app picker) that supports the selected photo type.,1
750_2,"add a filter, crop, etc), and then the opened app can pass that edited file back to my app.",1
752_2,"A thing that would be increbible is that your phone make a sound when you whistle or Clap hands a certain pattern ( wich could be preseted by the phone owner ) so when you can't find your phone and you dont have a buddy around to text you, you can find it!",1
753_1,Lockscreen: -Should be able to chose a tiny black outline around lettering so you can see what's written properly when you have a Clear/White lock screen.,1
753_2,-Should be able to put transparent (saved in PGN) lockscreens like WP7.5 Notification Center: -Should be able to control the screen when notification center is half open.,1
754_1,"-Should be able to control music ( Play, Pause, Next & Previous + song info ) directly from the notification center.",1
754_2,Xbox Music: -Should be able to swap music player sideways.,1
